accession,file_accession,file_type,file_format,file_size,output_category,output_type,target,investigated_as,nucleic_acid_term,assay,treatment_id,treatment,treatment_amount,treatment_amount_unit,treatment_duration,treatment_duration_unit,treatment_temperature,treatment_temperature_unit,treatment_notes,biosample_id,biosample_type,biosample_name,dataset_biosample_summary,dataset_description,replicate_libraries,replicate_antibody,antibody_target,antibody_characterization,antibody_caption,organism,dataset_type,assembly,status,controls,controlled_by,lab,run_type,read_length,paired_end,paired_with,platform,href,biological_replicates,biological_replicate_number,technical_replicate_number,replicate_list,technical_replicates,project,dataset,dbxrefs,superseded_by,file_status,submitted_by,library,derived_from,file_format_type,file_format_specifications,genome_annotation,external_accession,date_released,biosample_ontology,md5sum
ENCSR000DZS,ENCFF651OUX,bam,bam,463.5 Mb,alignment,alignments,BRCA1,transcription factor,DNA,ChIP-seq,NA,NA,NA,NA,NA,NA,NA,NA,NA,/biosamples/ENCBS630AAA/,cell line,GM12878,GM12878,BRCA1 ChIP-seq on human GM12878 produced by the Snyder lab,ENCLB209ASQ,NA,NA,NA,NA,Homo sapiens,experiments,GRCh38,released,ENCSR000EAF,NA,ENCODE Processing Pipeline,NA,NA,NA,NA,NA,/files/ENCFF651OUX/@@download/ENCFF651OUX.bam,1,NA,NA,NA,1_1,ENCODE,/experiments/ENCSR000DZS/,NA,NA,released,Cricket Sloan,NA,/files/ENCFF643CGH/; /files/ENCFF000VSY/,NA,NA,NA,NA,2011-10-29,/biosample-types/cell_line_EFO_0002784/,9fad95c0c1bbd990b106e06ad51ff33a
ENCSR000DZS,ENCFF408BUD,bam,bam,747.3 Mb,alignment,unfiltered alignments,BRCA1,transcription factor,DNA,ChIP-seq,NA,NA,NA,NA,NA,NA,NA,NA,NA,/biosamples/ENCBS630AAA/,cell line,GM12878,GM12878,BRCA1 ChIP-seq on human GM12878 produced by the Snyder lab,ENCLB209ASQ,NA,NA,NA,NA,Homo sapiens,experiments,hg19,released,ENCSR000EAF,NA,ENCODE Processing Pipeline,NA,NA,NA,NA,NA,/files/ENCFF408BUD/@@download/ENCFF408BUD.bam,1,NA,NA,NA,1_1,ENCODE,/experiments/ENCSR000DZS/,NA,NA,released,Cricket Sloan,NA,/files/ENCFF807MUK/; /files/ENCFF000VSY/,NA,NA,NA,NA,2011-10-29,/biosample-types/cell_line_EFO_0002784/,3587b23b010739d163bc2cc241808ade
ENCSR000DZS,ENCFF723BPZ,bam,bam,750.5 Mb,alignment,unfiltered alignments,BRCA1,transcription factor,DNA,ChIP-seq,NA,NA,NA,NA,NA,NA,NA,NA,NA,/biosamples/ENCBS630AAA/,cell line,GM12878,GM12878,BRCA1 ChIP-seq on human GM12878 produced by the Snyder lab,ENCLB209ASQ,NA,NA,NA,NA,Homo sapiens,experiments,GRCh38,released,ENCSR000EAF,NA,ENCODE Processing Pipeline,NA,NA,NA,NA,NA,/files/ENCFF723BPZ/@@download/ENCFF723BPZ.bam,1,NA,NA,NA,1_1,ENCODE,/experiments/ENCSR000DZS/,NA,NA,released,Cricket Sloan,NA,/files/ENCFF643CGH/; /files/ENCFF000VSY/,NA,NA,NA,NA,2011-10-29,/biosample-types/cell_line_EFO_0002784/,fb4343e5311c3833f5c3c8b5ee0b1256
ENCSR000DZS,ENCFF498LKK,bam,bam,1005.4 Mb,alignment,unfiltered alignments,BRCA1,transcription factor,DNA,ChIP-seq,NA,NA,NA,NA,NA,NA,NA,NA,NA,/biosamples/ENCBS630AAA/,cell line,GM12878,GM12878,BRCA1 ChIP-seq on human GM12878 produced by the Snyder lab,ENCLB209AUZ,NA,NA,NA,NA,Homo sapiens,experiments,hg19,released,ENCSR000EAF,NA,ENCODE Processing Pipeline,NA,NA,NA,NA,NA,/files/ENCFF498LKK/@@download/ENCFF498LKK.bam,2,NA,NA,NA,2_1,ENCODE,/experiments/ENCSR000DZS/,NA,NA,released,Cricket Sloan,NA,/files/ENCFF807MUK/; /files/ENCFF000VTI/,NA,NA,NA,NA,2011-10-29,/biosample-types/cell_line_EFO_0002784/,6acc06556a9c0a08811531fabd56c6c1
ENCSR000DZS,ENCFF290MTO,bam,bam,1010 Mb,alignment,unfiltered alignments,BRCA1,transcription factor,DNA,ChIP-seq,NA,NA,NA,NA,NA,NA,NA,NA,NA,/biosamples/ENCBS630AAA/,cell line,GM12878,GM12878,BRCA1 ChIP-seq on human GM12878 produced by the Snyder lab,ENCLB209AUZ,NA,NA,NA,NA,Homo sapiens,experiments,GRCh38,released,ENCSR000EAF,NA,ENCODE Processing Pipeline,NA,NA,NA,NA,NA,/files/ENCFF290MTO/@@download/ENCFF290MTO.bam,2,NA,NA,NA,2_1,ENCODE,/experiments/ENCSR000DZS/,NA,NA,released,Cricket Sloan,NA,/files/ENCFF643CGH/; /files/ENCFF000VTI/,NA,NA,NA,NA,2011-10-29,/biosample-types/cell_line_EFO_0002784/,b6e0c271726093d764bf3ca82a4f29c4
ENCSR000DZS,ENCFF936CDJ,bigWig,bigWig,202.1 Mb,signal,fold change over control,BRCA1,transcription factor,DNA,ChIP-seq,NA,NA,NA,NA,NA,NA,NA,NA,NA,/biosamples/ENCBS630AAA/,cell line,GM12878,GM12878,BRCA1 ChIP-seq on human GM12878 produced by the Snyder lab,ENCLB209ASQ,NA,NA,NA,NA,Homo sapiens,experiments,GRCh38,released,ENCSR000EAF,NA,ENCODE Processing Pipeline,NA,NA,NA,NA,NA,/files/ENCFF936CDJ/@@download/ENCFF936CDJ.bigWig,1,NA,NA,NA,1_1,ENCODE,/experiments/ENCSR000DZS/,NA,NA,released,Aditi Narayanan,NA,/files/ENCFF477ZKJ/; /files/ENCFF651OUX/; /files/ENCFF710SMS/,NA,NA,NA,NA,2011-10-29,/biosample-types/cell_line_EFO_0002784/,a10385a43e9f55d8724e865fee793442
ENCSR000DZS,ENCFF669VHU,bigBed narrowPeak,bigBed,9.1 Mb,annotation,peaks and background as input for IDR,BRCA1,transcription factor,DNA,ChIP-seq,NA,NA,NA,NA,NA,NA,NA,NA,NA,/biosamples/ENCBS630AAA/,cell line,GM12878,GM12878,BRCA1 ChIP-seq on human GM12878 produced by the Snyder lab,ENCLB209AUZ,NA,NA,NA,NA,Homo sapiens,experiments,GRCh38,released,ENCSR000EAF,NA,ENCODE Processing Pipeline,NA,NA,NA,NA,NA,/files/ENCFF669VHU/@@download/ENCFF669VHU.bigBed,2,NA,NA,NA,2_1,ENCODE,/experiments/ENCSR000DZS/,NA,NA,released,Aditi Narayanan,NA,/files/ENCFF053BPC/,narrowPeak,/documents/948203bb-8eb2-42a2-8b12-1c10f356c998/,NA,NA,2011-10-29,/biosample-types/cell_line_EFO_0002784/,9abb49b8476e64ef573244b04b18598e
ENCSR000DZS,ENCFF881ANJ,bed narrowPeak,bed,42.3 Kb,annotation,peaks and background as input for IDR,BRCA1,transcription factor,DNA,ChIP-seq,NA,NA,NA,NA,NA,NA,NA,NA,NA,/biosamples/ENCBS630AAA/,cell line,GM12878,GM12878,BRCA1 ChIP-seq on human GM12878 produced by the Snyder lab,ENCLB209ASQ,NA,NA,NA,NA,Homo sapiens,experiments,GRCh38,released,ENCSR000EAF,NA,ENCODE Processing Pipeline,NA,NA,NA,NA,NA,/files/ENCFF881ANJ/@@download/ENCFF881ANJ.bed.gz,1,NA,NA,NA,1_1,ENCODE,/experiments/ENCSR000DZS/,NA,NA,released,Aditi Narayanan,NA,/files/ENCFF477ZKJ/; /files/ENCFF651OUX/; /files/ENCFF710SMS/,narrowPeak,/documents/948203bb-8eb2-42a2-8b12-1c10f356c998/,NA,NA,2011-10-29,/biosample-types/cell_line_EFO_0002784/,dc38c4fd39057261900f3f99e0ad349e
ENCSR000DZS,ENCFF080UUC,bam,bam,462.6 Mb,alignment,alignments,BRCA1,transcription factor,DNA,ChIP-seq,NA,NA,NA,NA,NA,NA,NA,NA,NA,/biosamples/ENCBS630AAA/,cell line,GM12878,GM12878,BRCA1 ChIP-seq on human GM12878 produced by the Snyder lab,ENCLB209ASQ,NA,NA,NA,NA,Homo sapiens,experiments,hg19,released,ENCSR000EAF,NA,ENCODE Processing Pipeline,NA,NA,NA,NA,NA,/files/ENCFF080UUC/@@download/ENCFF080UUC.bam,1,NA,NA,NA,1_1,ENCODE,/experiments/ENCSR000DZS/,NA,NA,released,Cricket Sloan,NA,/files/ENCFF807MUK/; /files/ENCFF000VSY/,NA,NA,NA,NA,2011-10-29,/biosample-types/cell_line_EFO_0002784/,54c5da4242922791f420f81568ae65c1
ENCSR000DZS,ENCFF686JJM,bed narrowPeak,bed,9.6 Kb,annotation,conservative idr thresholded peaks,BRCA1,transcription factor,NA,ChIP-seq,NA,NA,NA,NA,NA,NA,NA,NA,NA,/biosamples/ENCBS630AAA/,cell line,GM12878,GM12878,BRCA1 ChIP-seq on human GM12878 produced by the Snyder lab,ENCLB209AUZ,NA,NA,NA,NA,Homo sapiens,experiments,hg19,released,ENCSR000EAF,NA,ENCODE Processing Pipeline,NA,NA,NA,NA,NA,/files/ENCFF686JJM/@@download/ENCFF686JJM.bed.gz,1; 2,NA,NA,NA,1_1; 2_1,ENCODE,/experiments/ENCSR000DZS/,NA,NA,released,Aditi Narayanan,NA,/files/ENCFF001TDO/; /files/ENCFF106CWI/; /files/ENCFF443VLF/; /files/ENCFF093WNM/,narrowPeak,/documents/948203bb-8eb2-42a2-8b12-1c10f356c998/,NA,NA,2011-10-29,/biosample-types/cell_line_EFO_0002784/,d0187eb5fbc839caa280c6395173d2ba
ENCSR000DZS,ENCFF301RKI,bigBed narrowPeak,bigBed,50.3 Kb,annotation,conservative idr thresholded peaks,BRCA1,transcription factor,NA,ChIP-seq,NA,NA,NA,NA,NA,NA,NA,NA,NA,/biosamples/ENCBS630AAA/,cell line,GM12878,GM12878,BRCA1 ChIP-seq on human GM12878 produced by the Snyder lab,ENCLB209AUZ,NA,NA,NA,NA,Homo sapiens,experiments,hg19,released,ENCSR000EAF,NA,ENCODE Processing Pipeline,NA,NA,NA,NA,NA,/files/ENCFF301RKI/@@download/ENCFF301RKI.bigBed,1; 2,NA,NA,NA,1_1; 2_1,ENCODE,/experiments/ENCSR000DZS/,NA,NA,released,Aditi Narayanan,NA,/files/ENCFF686JJM/,narrowPeak,/documents/948203bb-8eb2-42a2-8b12-1c10f356c998/,NA,NA,2011-10-29,/biosample-types/cell_line_EFO_0002784/,54f9de390924b22685dcf9c808d9ad16
ENCSR000DZS,ENCFF365KGA,bam,bam,613.6 Mb,alignment,alignments,BRCA1,transcription factor,DNA,ChIP-seq,NA,NA,NA,NA,NA,NA,NA,NA,NA,/biosamples/ENCBS630AAA/,cell line,GM12878,GM12878,BRCA1 ChIP-seq on human GM12878 produced by the Snyder lab,ENCLB209AUZ,NA,NA,NA,NA,Homo sapiens,experiments,GRCh38,released,ENCSR000EAF,NA,ENCODE Processing Pipeline,NA,NA,NA,NA,NA,/files/ENCFF365KGA/@@download/ENCFF365KGA.bam,2,NA,NA,NA,2_1,ENCODE,/experiments/ENCSR000DZS/,NA,NA,released,Cricket Sloan,NA,/files/ENCFF643CGH/; /files/ENCFF000VTI/,NA,NA,NA,NA,2011-10-29,/biosample-types/cell_line_EFO_0002784/,4988025ba6653332b5bc4da3f599a12b
ENCSR000DZS,ENCFF093WNM,bed narrowPeak,bed,34.8 Kb,annotation,peaks and background as input for IDR,BRCA1,transcription factor,DNA,ChIP-seq,NA,NA,NA,NA,NA,NA,NA,NA,NA,/biosamples/ENCBS630AAA/,cell line,GM12878,GM12878,BRCA1 ChIP-seq on human GM12878 produced by the Snyder lab,ENCLB209ASQ,NA,NA,NA,NA,Homo sapiens,experiments,hg19,released,ENCSR000EAF,NA,ENCODE Processing Pipeline,NA,NA,NA,NA,NA,/files/ENCFF093WNM/@@download/ENCFF093WNM.bed.gz,1,NA,NA,NA,1_1,ENCODE,/experiments/ENCSR000DZS/,NA,NA,released,Aditi Narayanan,NA,/files/ENCFF080UUC/; /files/ENCFF110OHA/; /files/ENCFF545DZO/,narrowPeak,/documents/948203bb-8eb2-42a2-8b12-1c10f356c998/,NA,NA,2011-10-29,/biosample-types/cell_line_EFO_0002784/,a5a9f0712ebc4d0f98401a4fc751fbe4
ENCSR000DZS,ENCFF950MOS,bigBed narrowPeak,bigBed,9.2 Mb,annotation,peaks and background as input for IDR,BRCA1,transcription factor,DNA,ChIP-seq,NA,NA,NA,NA,NA,NA,NA,NA,NA,/biosamples/ENCBS630AAA/,cell line,GM12878,GM12878,BRCA1 ChIP-seq on human GM12878 produced by the Snyder lab,ENCLB209AUZ,NA,NA,NA,NA,Homo sapiens,experiments,hg19,released,ENCSR000EAF,NA,ENCODE Processing Pipeline,NA,NA,NA,NA,NA,/files/ENCFF950MOS/@@download/ENCFF950MOS.bigBed,2,NA,NA,NA,2_1,ENCODE,/experiments/ENCSR000DZS/,NA,NA,released,Aditi Narayanan,NA,/files/ENCFF106CWI/,narrowPeak,/documents/948203bb-8eb2-42a2-8b12-1c10f356c998/,NA,NA,2011-10-29,/biosample-types/cell_line_EFO_0002784/,cfab212d6d8ea6f077bd1bf8cf6b78bb
ENCSR000DZS,ENCFF727FCY,bigBed narrowPeak,bigBed,10.3 Mb,annotation,peaks and background as input for IDR,BRCA1,transcription factor,NA,ChIP-seq,NA,NA,NA,NA,NA,NA,NA,NA,NA,/biosamples/ENCBS630AAA/,cell line,GM12878,GM12878,BRCA1 ChIP-seq on human GM12878 produced by the Snyder lab,ENCLB209AUZ,NA,NA,NA,NA,Homo sapiens,experiments,GRCh38,released,ENCSR000EAF,NA,ENCODE Processing Pipeline,NA,NA,NA,NA,NA,/files/ENCFF727FCY/@@download/ENCFF727FCY.bigBed,1; 2,NA,NA,NA,1_1; 2_1,ENCODE,/experiments/ENCSR000DZS/,NA,NA,released,Aditi Narayanan,NA,/files/ENCFF884PFA/,narrowPeak,/documents/948203bb-8eb2-42a2-8b12-1c10f356c998/,NA,NA,2011-10-29,/biosample-types/cell_line_EFO_0002784/,bd074a8ba0b3042dd4f8c6d21b2dd772
ENCSR000DZS,ENCFF117YIC,bigWig,bigWig,154.7 Mb,signal,signal p-value,BRCA1,transcription factor,NA,ChIP-seq,NA,NA,NA,NA,NA,NA,NA,NA,NA,/biosamples/ENCBS630AAA/,cell line,GM12878,GM12878,BRCA1 ChIP-seq on human GM12878 produced by the Snyder lab,ENCLB209AUZ,NA,NA,NA,NA,Homo sapiens,experiments,hg19,released,ENCSR000EAF,NA,ENCODE Processing Pipeline,NA,NA,NA,NA,NA,/files/ENCFF117YIC/@@download/ENCFF117YIC.bigWig,1; 2,NA,NA,NA,1_1; 2_1,ENCODE,/experiments/ENCSR000DZS/,NA,NA,released,Aditi Narayanan,NA,/files/ENCFF080UUC/; /files/ENCFF110OHA/; /files/ENCFF545DZO/; /files/ENCFF042ZNZ/,NA,NA,NA,NA,2011-10-29,/biosample-types/cell_line_EFO_0002784/,149b7df7c859a8fbe875501757c4d448
ENCSR000DZS,ENCFF884PFA,bed narrowPeak,bed,4 Mb,annotation,peaks and background as input for IDR,BRCA1,transcription factor,NA,ChIP-seq,NA,NA,NA,NA,NA,NA,NA,NA,NA,/biosamples/ENCBS630AAA/,cell line,GM12878,GM12878,BRCA1 ChIP-seq on human GM12878 produced by the Snyder lab,ENCLB209AUZ,NA,NA,NA,NA,Homo sapiens,experiments,GRCh38,released,ENCSR000EAF,NA,ENCODE Processing Pipeline,NA,NA,NA,NA,NA,/files/ENCFF884PFA/@@download/ENCFF884PFA.bed.gz,1; 2,NA,NA,NA,1_1; 2_1,ENCODE,/experiments/ENCSR000DZS/,NA,NA,released,Aditi Narayanan,NA,/files/ENCFF710SMS/; /files/ENCFF651OUX/; /files/ENCFF365KGA/; /files/ENCFF477ZKJ/,narrowPeak,/documents/948203bb-8eb2-42a2-8b12-1c10f356c998/,NA,NA,2011-10-29,/biosample-types/cell_line_EFO_0002784/,7922aeeb03c51b2794528188ea07b240
ENCSR000DZS,ENCFF021GTN,bigBed narrowPeak,bigBed,127.1 Kb,annotation,peaks and background as input for IDR,BRCA1,transcription factor,DNA,ChIP-seq,NA,NA,NA,NA,NA,NA,NA,NA,NA,/biosamples/ENCBS630AAA/,cell line,GM12878,GM12878,BRCA1 ChIP-seq on human GM12878 produced by the Snyder lab,ENCLB209ASQ,NA,NA,NA,NA,Homo sapiens,experiments,hg19,released,ENCSR000EAF,NA,ENCODE Processing Pipeline,NA,NA,NA,NA,NA,/files/ENCFF021GTN/@@download/ENCFF021GTN.bigBed,1,NA,NA,NA,1_1,ENCODE,/experiments/ENCSR000DZS/,NA,NA,released,Aditi Narayanan,NA,/files/ENCFF093WNM/,narrowPeak,/documents/948203bb-8eb2-42a2-8b12-1c10f356c998/,NA,NA,2011-10-29,/biosample-types/cell_line_EFO_0002784/,686f49c624257e91261e7d1458f9aaa8
